Name,Department,Rating,Difficulty,Would Take Again %,Total Ratings,Courses Taught,Review 1,Review 2,Review 3
"Steve Kilianski","Psychology",3.7,3,60.8511,577,"01830101|101|102|15960101|1830200|321|830101|83010102|830321|GENERALPSY|GENPSYCH|GENPSYCH101|GENPYCH101|GENPYSCH|GENSOC|GNPSYIDR|INTRO1|PSY101|PSY200|PSY321|PSYC321|PSYC323|PSYCH|PSYCH101|PSYCH200|PSYCH300|PSYCH320|PSYCH321|PSYCH323|PSYCH830321|PSYCHOLOGY|PSYCHSOC|PSYCHSOCI|PYSCH101|PYSCH321|QM200|QUAN096|QUANMETH|QUANMETHODS|QUANT|QUANT200|QUANTMETHODS|QUANTMETHODS200|QUANTSOCIAL|SOC101|SOC321|SOCANDQUANT|SOCIA321|SOCIAL|SOCIAL321|SOCIALPSY|SOCIALPSY321|SOCIALPSYC|SOCIALPSYCH|SOCIALPSYCH321|SOCIALPYC|SOCIALPYCHOLOG|SOCIAPSYC|SOCIPSYC|SOCP321|SOCP8780|SOCPS01|SOCPS06|SOCPS08|SOCPS2|SOCPS321|SOCPSOCP|SOCPSY|SOCPSYC|SOCPSYCH|SOCPSYCH01|SOCPSYCH201|SOCPSYCH321|SOCPYSC|SOCPYSCH|SOPSY302|SOPSY830|SPSYC101|SPSYC321","Q:4/D:4/G:B+ — I am aware of the bad reviews and how a lot of people don't like him. However I think the majority are just psych majors that don't want to do math and are frankly not good at it. If you pay attention and study you will have an A. It is so easy but don't get comfortable with the exams that is how I ","Q:5/D:2/G:Not sure yet — Had him for quant methods if you know the textbook well and do the practice problems he gives before tests you should do well on the exam. He writes the textbook himself","Q:5/D:2/G:Not sure yet — Absolutely loved Professor Kilianski! Very knowledgeable and sets students up for success with all the prep material for exams. I have him for quant and social psych. Can be a bit intimidating, but he's a very nice guy overall."
"Lyra Stein","Psychology",3.8,2.5,65.1261,329,"338|340|AB340|ABNORMAL|ABNORMALPSY|ABNORMALPSYC|ABNORMALPSYCH|ABPSYCH|ABPSYCH340|ADVTOPICS421|EXPOS01|EXPOS1|EXPOS3|FILM220|GENPSYCH|PERSONALITY338|PS334|PSCYHFLM220|PSY101|PSY123|PSY220|PSY338|PSY340|PSYC338AND340|PSYCH04|PSYCH05|PSYCH101|PSYCH123|PSYCH220|PSYCH300|PSYCH316|PSYCH338|PSYCH338AND220|PSYCH340|PSYCHFILM220|PSYCHFILMS220|PSYFILM220|RESMETH355|SOCIALPSYCH|SOCPS321|SOCPSYCH|SOULBEL123|SOULBELIEFS|TC217","Q:1/D:1/G:A+ — Once I got my 70 top hat points she never saw me again. The most boring class ever and the easiest A ever. You can AI everything and she literally encourages it. If you can avoid this professor please do for your own sanity.","Q:2/D:1/G:Not sure yet — Classes are sooooo boring. I thought since it was a 100 it would be lightwork but I've had to give myself pep talks to stay awake in class. The group projects are really annoying.","Q:4/D:1/G:Not sure yet — Exam questions are self-explanatory, and some are pulled from quizzes throughout the semester. Easy studying, but still study. Some concepts are really dense in topic. Helps with TopHat questions so utilize the time in class to actually understand the concepts."
"Michael Elgawly","Economics",4.3,3.1,86.7347,196,"102MICRO|220102|ECN206|ECO102|ECO210|ECON1|ECON101|ECON102|ECON103|ECON198|ECON220|ECON238|ECON300|INTROTOMICRO101|INTROTOMICRO102|MACRO103|MICRO101|MICRO102|MONEYBANKINGFIN","Q:3/D:3/G:Rather not say — Prof. Elgawly is alright professor, but I sometimes felt his lectures went off-topic too often. The course is lecture-heavy, so attending class and self-studying are important. Homework and quizzes are online and can be time-consuming, so manage your time well. The exams are fair, but the class aver","Q:5/D:3/G:A — He's very knowledgable and gives useful information that helps outside of the classroom (like why a 401k is so important). He's very lecture and slides heavy and there's not much student interaction in class. While he posts all the slides on canvas, I still recommend attending class. HW is on pearso","Q:5/D:1/G:A — Really nice guy, class set up in super easy way with a few homeworks and a 100 question online test due at the end of each of the 3 units, super manageable though. Would often skip lectures and still was able to get As on the tests using the homework to study. Taking him for macro next semester too "
"Ana Paula Centeno","Computer Science",4,2.9,78.169,151,"211|CS111|CS111112|CS112|CS211|CS416","Q:3/D:3/G:Rather not say — Prof. Centeno isn't a bad professor for CS112, but I recommend doing a lot of self-studying. The assignments can be heavy, so practicing with past exams, watching YouTube videos, and doing some LeetCode problems will help you understand the material better. Stay on top of the work and you'll do fine","Q:3/D:2/G:A — Unless you are completely new to programming, these classes aren't difficult. While it does seem like exams are more difficult due to their midterm grade replacement policy, that same policy makes it much easier to get more points on exams. Assignments outside of exams are simple, but lengthy; 111 e","Q:3/D:3/G:A — I think I know more about her love for cats than computer science. Lectures move slow, you can just skip and study the practice exams. The study material is actually useful."
"Paul Hufker","English",4.8,2.3,95,19,"101|104|201","Q:5/D:2/G:A+ — For introduction to college writing this is the best professor to have. I am not an English fan by any means but his lectures made it so interesting. He gives amazing feedback on the drafts you do for the four projects and if you correct them with his feedback you are going to get a good grade.","Q:5/D:2/G:A — He is so sweet and understanding. He is super repetitive about what he wants in your work, and will always be available for help. I would 100% take him again because he wants everyone to end with an A. Put in the effort and it is a class that will be a breeze.","Q:5/D:2/G:A — Actually the BEST professor at Rutgers!"
"Yogesh Jaluria","Engineering",3.9,3.3,100,16,"313|650231MATLAB|COMP231ME|COMP313|COMPDESIGN|DMS486|MAE481|MATLAB2231|ME481|THERMO351","Q:5/D:3/G:A — Good class overall, and Professor Jaluria explained concepts very well, even though he went quite quickly. Buy the textbook since the quizzes and exams are basically an example from the textbook rewritten. Exams are open book and open notes.","Q:5/D:3/G:A — Professor Jaluria was a great professor, the class itself is meant to be hard though if you get the book majority of the time quizzes/midterm/final questions are just an example from the book rewritten. Do the homework, it helps a ton, few actual formulas in this class, it is more concept heavy and ","Q:4/D:4/G:A — Had him for thermodynamics, he's a great professor, very passionate about the topic and ready to answer questions. All quizzes and exams were open notes/open book so highly recommend buying a physical copy of the textbook to make your life easier. Also, definitely go to lecture. The lectures can be "
"Kevin Dahaghi","Sociology",5,2.2,87.5,15,"CRIMINOLOGY","Q:5/D:3/G:A- — This was for intro to criminal justice. I loved the class so much. Just be prepared you need to study.","Q:5/D:3/G:B- — While I didn't really do the best in this class (probably cause I was always tired) he's a great professor and if you talk to him/go to office hours you'll definetly excell","Q:5/D:2/G:A — Lectures were interesting and engaging and professor is fun to talk to. He is always willing to answer questions and gives students the opportunity to share their opinions. Study guides were very helpful and similar to the content on the exams. Few assignments with plenty of time to complete."
"Brian Becker","English",3.7,3.5,50,10,"ENG100|ENG156|ENG220|ENG318","Q:4/D:3/G:A — Prof. Brian Becker is a great professor for College Writing. I took his class online, which was very convenient. There are many assignments, but if you stay on top of the smaller assignments and four major projects, the class is very manageable. His grading is fair, the instructions are clear, and h","Q:5/D:2/G:A — Professor Becker is overall a great professor. He's kind and understanding, and is very clear in what he expects. I took him for Expos. He's very helpful and clear with how to do well on his papers and assignments, which made Expos a really really easy class. If you follow his feedback, its so easy ","Q:5/D:3/G:A — Had Prof Becker for online async Expos. He turned what is supposedly a super hard class into something that was pretty fun and simple (only had to write four papers). His comments are detailed so it is easy to improve your writing. Would highly recommend."
"Jehan Mohamed","Arabic",4,3,100,1,"ARAB140|ARAB141","Q:5/D:2/G:A+ — She is a great teacher. Repeating helps in Arabic, so she made us repeat a lot in class, which was helpful. She is really willing to answer all your questions. She made the classes fun by adding activities. Absolutely take her !","Q:4/D:3/G:A — Caring and passionate Arabic professor. At times a bit disorganised and reverts to coloquial dialect, but explains anything if needed. Class attendance/participation is a sizable portion of the grade. A lot of homework, but helpful for the quizzes. Midterm, Final, and Final Group Project. Not an eas",""
"Jonathan Garcia-Mallen","Computer Science",2,4,0,1,"CS211","Q:2/D:4/G:B — literally only took the class because he dropped the lowest exam grade, so I didn't need to take the final. otherwise the class was meh. would not take again","Q:2/D:4/G:A — His first time teaching so it was very unorganized. Lectures were very confusing. Labs were absurdly difficult and time-consuming. Expected us to teach ourselves C from scratch. Exams were really fair though and he dropped our lowest exam grade. Still, really chill guy and could be a pretty decent t",""
